Reach of Stacked_table,Stream,Number of Fish,Reach of WhitewaterFishStreamrevised2,Fork,Temp.C,Width.m,Depth.cm,CV.cm.s,P.gravel
Sand shiner,nf borgen,,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Sand shiner,nf crary,,nf crary,North,13,9.673333333,45.56666667,21.85,0
Sand shiner,nf kcrary,,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Sand shiner,nf carley,,nf carley,North,13,11.28125,40.953125,17.484375,0
Sand shiner,nf breiter,,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Sand shiner,nf logan,,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Sand shiner,nf upper wwma,,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Sand shiner,nf fairwater,,nf fairwater,North,,12.48,,,
Sand shiner,nf elba,,nf elba,North,14,11.26666667,36.93333333,56.55,0
Sand shiner,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Sand shiner,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Sand shiner,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Sand shiner,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Sand shiner,mf russel,,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Sand shiner,mf kriedermacher,,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Sand shiner,mf bedtke,,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Sand shiner,mf palmby,,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
Sand shiner,mf bedtka,,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
Sand shiner,mf duellman,,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
Sand shiner,mf halbakken,,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
Sand shiner,mf hentges,,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
Sand shiner,mf quincy,,mf quincy,Middle,13,7.53,,,
Sand shiner,mf cwwma,,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
Sand shiner,mf group camp,,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
Sand shiner,mf south picnic,,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
Sand shiner,mf park campground,,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
Sand shiner,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
Sand shiner,mf swwma,,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
Sand shiner,sf eyota,,sf eyota,South,,6.51,,,
Sand shiner,sf grahams arena,,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
Sand shiner,sf eyota ditch,1,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
Sand shiner,sf c. franke source,,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
Sand shiner,sf c. franke,2,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
Sand shiner,sf b. franke,1,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
Sand shiner,sf keefe,10,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
Sand shiner,sf millard,4,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
Sand shiner,sf irhke source,,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
Sand shiner,sf millard d/s,1,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
Sand shiner,sf zitzow,2,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
Sand shiner,sf andring,2,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
Sand shiner,sf park west,,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
Sand shiner,sf brookwood,,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
Sand shiner,sf scpu,,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
Sand shiner,sf richland crossing,1,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
Sand shiner,sf person,,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
Sand shiner,sf heins 37,,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
Sand shiner,sf high bridge,,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
Sand shiner,sf u/s crystal springs,,sf u/s crystal springs,South,,14.28,,,
Sand shiner,sf hwy 26,,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
Southern redbelly dace,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
Southern redbelly dace,nf pries source 2,,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
Southern redbelly dace,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
Southern redbelly dace,nf pries 2,1,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
Southern redbelly dace,nf walsch,,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
Southern redbelly dace,nf shea,,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
Southern redbelly dace,nf jech,,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
Southern redbelly dace,nf tradup,,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
Southern redbelly dace,nf elgin,,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
Southern redbelly dace,nf jech pond,,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
Southern redbelly dace,nf sjech,,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
Southern redbelly dace,nf reiter,,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
Southern redbelly dace,nf borgen,,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Southern redbelly dace,nf crary,,nf crary,North,13,9.673333333,45.56666667,21.85,0
Southern redbelly dace,nf kcrary,,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Southern redbelly dace,nf carley,,nf carley,North,13,11.28125,40.953125,17.484375,0
Southern redbelly dace,nf breiter,,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Southern redbelly dace,nf logan,,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Southern redbelly dace,nf upper wwma,,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Southern redbelly dace,nf fairwater,,nf fairwater,North,,12.48,,,
Southern redbelly dace,nf elba,,nf elba,North,14,11.26666667,36.93333333,56.55,0
Southern redbelly dace,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Southern redbelly dace,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Southern redbelly dace,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Southern redbelly dace,mf hines 107,2,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Southern redbelly dace,mf russel,,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Southern redbelly dace,mf kriedermacher,2,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Southern redbelly dace,mf bedtke,,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Southern redbelly dace,mf palmby,1,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
Southern redbelly dace,mf bedtka,,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
Southern redbelly dace,mf duellman,,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
Southern redbelly dace,mf halbakken,,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
Southern redbelly dace,mf hentges,,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
Southern redbelly dace,mf quincy,,mf quincy,Middle,13,7.53,,,
Southern redbelly dace,mf cwwma,,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
Southern redbelly dace,mf group camp,,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
Southern redbelly dace,mf south picnic,,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
Southern redbelly dace,mf park campground,,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
Southern redbelly dace,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
Southern redbelly dace,mf swwma,,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
Southern redbelly dace,sf eyota,1,sf eyota,South,,6.51,,,
Southern redbelly dace,sf grahams arena,22,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
Southern redbelly dace,sf eyota ditch,9,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
Southern redbelly dace,sf c. franke source,1,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
Southern redbelly dace,sf c. franke,35,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
Southern redbelly dace,sf b. franke,7,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
Southern redbelly dace,sf keefe,2,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
Southern redbelly dace,sf millard,,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
Southern redbelly dace,sf irhke source,,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
Southern redbelly dace,sf millard d/s,,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
Southern redbelly dace,sf zitzow,1,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
Southern redbelly dace,sf andring,,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
Southern redbelly dace,sf park west,,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
Southern redbelly dace,sf brookwood,,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
Southern redbelly dace,sf scpu,,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
Southern redbelly dace,sf richland crossing,,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
Southern redbelly dace,sf person,,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
Southern redbelly dace,sf heins 37,,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
Southern redbelly dace,sf high bridge,,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
Southern redbelly dace,sf u/s crystal springs,,sf u/s crystal springs,South,,14.28,,,
Southern redbelly dace,sf hwy 26,,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
Bluntnose minnow,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
Bluntnose minnow,nf pries source 2,,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
Bluntnose minnow,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
Bluntnose minnow,nf pries 2,,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
Bluntnose minnow,nf walsch,,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
Bluntnose minnow,nf shea,,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
Bluntnose minnow,nf jech,,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
Bluntnose minnow,nf tradup,,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
Bluntnose minnow,nf elgin,,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
Bluntnose minnow,nf jech pond,,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
Bluntnose minnow,nf sjech,,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
Bluntnose minnow,nf reiter,,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
Bluntnose minnow,nf borgen,,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Bluntnose minnow,nf crary,,nf crary,North,13,9.673333333,45.56666667,21.85,0
Bluntnose minnow,nf kcrary,,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Bluntnose minnow,nf carley,,nf carley,North,13,11.28125,40.953125,17.484375,0
Bluntnose minnow,nf breiter,,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Bluntnose minnow,nf logan,,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Bluntnose minnow,nf upper wwma,,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Bluntnose minnow,nf fairwater,,nf fairwater,North,,12.48,,,
Bluntnose minnow,nf elba,,nf elba,North,14,11.26666667,36.93333333,56.55,0
Bluntnose minnow,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Bluntnose minnow,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Bluntnose minnow,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Bluntnose minnow,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Bluntnose minnow,mf russel,,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Bluntnose minnow,mf kriedermacher,,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Bluntnose minnow,mf bedtke,,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Bluntnose minnow,mf palmby,,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
Bluntnose minnow,mf bedtka,,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
Bluntnose minnow,mf duellman,,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
Bluntnose minnow,mf halbakken,,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
Bluntnose minnow,mf hentges,,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
Bluntnose minnow,mf quincy,,mf quincy,Middle,13,7.53,,,
Bluntnose minnow,mf cwwma,,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
Bluntnose minnow,mf group camp,,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
Bluntnose minnow,mf south picnic,,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
Bluntnose minnow,mf park campground,,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
Bluntnose minnow,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
Bluntnose minnow,mf swwma,,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
Bluntnose minnow,sf eyota,1,sf eyota,South,,6.51,,,
Bluntnose minnow,sf grahams arena,1,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
Bluntnose minnow,sf eyota ditch,,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
Bluntnose minnow,sf c. franke source,,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
Bluntnose minnow,sf c. franke,5,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
Bluntnose minnow,sf b. franke,1,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
Bluntnose minnow,sf keefe,24,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
Bluntnose minnow,sf millard,1,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
Bluntnose minnow,sf irhke source,,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
Bluntnose minnow,sf millard d/s,,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
Bluntnose minnow,sf zitzow,,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
Bluntnose minnow,sf andring,,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
Bluntnose minnow,sf park west,,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
Bluntnose minnow,sf brookwood,1,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
Bluntnose minnow,sf scpu,,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
Bluntnose minnow,sf richland crossing,,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
Bluntnose minnow,sf person,1,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
Bluntnose minnow,sf heins 37,,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
Bluntnose minnow,sf high bridge,,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
Bluntnose minnow,sf u/s crystal springs,,sf u/s crystal springs,South,,14.28,,,
Bluntnose minnow,sf hwy 26,,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
Fathead minnow,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
Fathead minnow,nf pries source 2,,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
Fathead minnow,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
Fathead minnow,nf pries 2,,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
Fathead minnow,nf walsch,,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
Fathead minnow,nf shea,1,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
Fathead minnow,nf jech,,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
Fathead minnow,nf tradup,,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
Fathead minnow,nf elgin,,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
Fathead minnow,nf jech pond,1,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
Fathead minnow,nf sjech,,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
Fathead minnow,nf reiter,,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
Fathead minnow,nf borgen,,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Fathead minnow,nf crary,,nf crary,North,13,9.673333333,45.56666667,21.85,0
Fathead minnow,nf kcrary,,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Fathead minnow,nf carley,,nf carley,North,13,11.28125,40.953125,17.484375,0
Fathead minnow,nf breiter,,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Fathead minnow,nf logan,,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Fathead minnow,nf upper wwma,,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Fathead minnow,nf fairwater,,nf fairwater,North,,12.48,,,
Fathead minnow,nf elba,,nf elba,North,14,11.26666667,36.93333333,56.55,0
Fathead minnow,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Fathead minnow,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Fathead minnow,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Fathead minnow,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Fathead minnow,mf russel,,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Fathead minnow,mf kriedermacher,,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Fathead minnow,mf bedtke,,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Fathead minnow,mf palmby,,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
Fathead minnow,mf bedtka,,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
Fathead minnow,mf duellman,,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
Fathead minnow,mf halbakken,,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
Fathead minnow,mf hentges,,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
Fathead minnow,mf quincy,,mf quincy,Middle,13,7.53,,,
Fathead minnow,mf cwwma,,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
Fathead minnow,mf group camp,,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
Fathead minnow,mf south picnic,,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
Fathead minnow,mf park campground,,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
Fathead minnow,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
Fathead minnow,mf swwma,,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
Fathead minnow,sf eyota,,sf eyota,South,,6.51,,,
Fathead minnow,sf grahams arena,,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
Fathead minnow,sf eyota ditch,,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
Fathead minnow,sf c. franke source,,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
Fathead minnow,sf c. franke,,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
Fathead minnow,sf b. franke,,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
Fathead minnow,sf keefe,,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
Fathead minnow,sf millard,,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
Fathead minnow,sf irhke source,1,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
Fathead minnow,sf millard d/s,2,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
Fathead minnow,sf zitzow,,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
Fathead minnow,sf andring,,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
Fathead minnow,sf park west,,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
Fathead minnow,sf brookwood,,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
Fathead minnow,sf scpu,,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
Fathead minnow,sf richland crossing,,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
Fathead minnow,sf person,,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
Fathead minnow,sf heins 37,,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
Fathead minnow,sf high bridge,,sf high bridge,South,10,8.533333333,41.05,48.43333333,0.033333333
Fathead minnow,sf u/s crystal springs,,sf u/s crystal springs,South,,14.28,,,
Fathead minnow,sf hwy 26,,sf hwy 26,South,9,11.96666667,55.355,47.98333333,0.316666667
Blacknose dace,nf pries source 1,,nf pries source 1,North,10,1.68,8.066666667,6.033333333,0.133333333
Blacknose dace,nf pries source 2,10,nf pries source 2,North,13,1.666666667,7.416666667,7.6,0.066666667
Blacknose dace,nf pries 1,,nf pries 1,North,9,1.841333333,17.71666667,22.33333333,0.116666667
Blacknose dace,nf pries 2,4,nf pries 2,North,10,3.386666667,33.76666667,27.43333333,0.316666667
Blacknose dace,nf walsch,4,nf walsch,North,9,2.853333333,51.06666667,27.18333333,0.283333333
Blacknose dace,nf shea,7,nf shea,North,9,4.133333333,33.18333333,30.65,0.133333333
Blacknose dace,nf jech,,nf jech,North,11,4.653333333,54.06666667,30.4,0.15
Blacknose dace,nf tradup,,nf tradup,North,10,6.013333333,59.5,23.83333333,0.066666667
Blacknose dace,nf elgin,,nf elgin,North,11,7.926666667,43.23333333,23.9,0.033333333
Blacknose dace,nf jech pond,1,nf jech pond,North,12,8.273333333,45.46666667,19.78333333,0
Blacknose dace,nf sjech,,nf sjech,North,13,8.193333333,46.75,28.53333333,0.033333333
Blacknose dace,nf reiter,,nf reiter,North,13,5.353333333,55.38333333,27.1,0.2
Blacknose dace,nf borgen,,nf borgen,North,15,7.386666667,63.58333333,20.76666667,0.05
Blacknose dace,nf crary,,nf crary,North,13,9.673333333,45.56666667,21.85,0
Blacknose dace,nf kcrary,,nf kcrary,North,12,12.26,34.61666667,27.36666667,0.2
Blacknose dace,nf carley,9,nf carley,North,13,11.28125,40.953125,17.484375,0
Blacknose dace,nf breiter,,nf breiter,North,8,11.85333333,34.66666667,57.38333333,0
Blacknose dace,nf logan,,nf logan,North,11,6.426666667,21.46666667,37.86666667,0.083333333
Blacknose dace,nf upper wwma,,nf upper wwma,North,12,15.21333333,41.45,40.3,0.05
Blacknose dace,nf fairwater,,nf fairwater,North,,12.48,,,
Blacknose dace,nf elba,5,nf elba,North,14,11.26666667,36.93333333,56.55,0
Blacknose dace,mf crow springs source,,mf crow springs source,Middle,13,6.246666667,14.36666667,35.66666667,0.85
Blacknose dace,mf crow springs hwy 9,,mf crow springs hwy 9,Middle,8,4.393333333,53.26666667,23.35,0.183333333
Blacknose dace,mf crow springs biers,,mf crow springs biers,Middle,12,4.193333333,43.38333333,39.93333333,0.1
Blacknose dace,mf hines 107,,mf hines 107,Middle,7,2.426666667,21.74074074,13.05555556,0.233333333
Blacknose dace,mf russel,56,mf russel,Middle,11,3.1,29.95,31.88333333,0.316666667
Blacknose dace,mf kriedermacher,37,mf kriedermacher,Middle,11,4.04,19.3,25.11666667,0.3
Blacknose dace,mf bedtke,58,mf bedtke,Middle,12,3.713333333,38.95,38.41666667,0.3
Blacknose dace,mf palmby,7,mf palmby,Middle,14,4.313333333,29.03333333,30.8,0.35
Blacknose dace,mf bedtka,3,mf bedtka,Middle,13,3.806666667,58.93333333,28.4,0.25
Blacknose dace,mf duellman,,mf duellman,Middle,16,6.086666667,34.28333333,25.06666667,0.166666667
Blacknose dace,mf halbakken,1,mf halbakken,Middle,10,6.613333333,34.88333333,18.25,0.25
Blacknose dace,mf hentges,,mf hentges,Middle,14,6.4,34.65,35.73333333,0.333333333
Blacknose dace,mf quincy,3,mf quincy,Middle,13,7.53,,,
Blacknose dace,mf cwwma,,mf cwwma,Middle,12,11.77333333,49.31666667,54.28333333,0.45
Blacknose dace,mf group camp,,mf group camp,Middle,14,9.493333333,44.28333333,24.48333333,0
Blacknose dace,mf south picnic,,mf south picnic,Middle,10,11.43333333,35.55,53.71666667,0.15
Blacknose dace,mf park campground,,mf park campground,Middle,8,9.653333333,36.56666667,55.5,0.016666667
Blacknose dace,mf lazy d,,mf lazy d,Middle,12,9.34,46.21666667,59.68333333,0.116666667
Blacknose dace,mf swwma,,mf swwma,Middle,12,10.62,30.33333333,39.56666667,0
Blacknose dace,sf eyota,,sf eyota,South,,6.51,,,
Blacknose dace,sf grahams arena,8,sf grahams arena,South,14,2.893333333,16.4,13.5,0.55
Blacknose dace,sf eyota ditch,67,sf eyota ditch,South,13,2.246666667,22.05,26.83333333,0.5
Blacknose dace,sf c. franke source,20,sf c. franke source,South,9,1.693333333,17.95454545,21.65909091,0.166666667
Blacknose dace,sf c. franke,66,sf c. franke,South,10,2.68,23.2962963,12.16666667,0.45
Blacknose dace,sf b. franke,85,sf b. franke,South,11,3.46,34.26666667,27.5,0.25
Blacknose dace,sf keefe,46,sf keefe,South,13,4.94,33.16666667,22.1,0.216666667
Blacknose dace,sf millard,15,sf millard,South,10,4.533333333,61.15,55.18333333,0.2
Blacknose dace,sf irhke source,7,sf irhke source,South,8,6.206666667,44.25,24.76666667,0.083333333
Blacknose dace,sf millard d/s,4,sf millard d/s,South,11,8.806666667,45.06666667,56.7,0.4
Blacknose dace,sf zitzow,28,sf zitzow,South,10,6.76,29.38333333,35.93333333,0.583333333
Blacknose dace,sf andring,57,sf andring,South,8,5.22,45.11666667,33.5,0.383333333
Blacknose dace,sf park west,7,sf park west,South,12,5.746666667,41.66666667,43.16666667,0.316666667
Blacknose dace,sf brookwood,2,sf brookwood,South,10,6.513333333,53.33333333,44.13333333,0.183333333
Blacknose dace,sf scpu,3,sf scpu,South,12,9.533333333,53.45,33.88333333,0.283333333
Blacknose dace,sf richland crossing,4,sf richland crossing,South,13,9.48,60.38333333,34.85,0.133333333
Blacknose dace,sf person,6,sf person,South,12,9.546666667,44.93333333,55.45,0.416666667
Blacknose dace,sf heins 37,,sf heins 37,South,8,10.08666667,50.45,35.05,0.183333333
